Time,MHC_Water_Level,MH_Water_Level,PG_Water_Level,HH_Water_Level,GG_Water_Level
2022-05-01 01:00:00,1.22,0.36,0.93,0.79,0.24
2022-05-01 02:00:00,1.22,0.36,0.92,0.79,0.24
2022-05-01 03:00:00,1.22,0.36,0.92,0.79,0.24
2022-05-01 04:00:00,1.22,0.36,0.92,0.79,0.24
2022-05-01 05:00:00,1.22,0.36,0.92,0.79,0.24
2022-05-01 06:00:00,1.22,0.36,0.92,0.79,0.24
2022-05-01 07:00:00,1.22,0.36,0.92,0.79,0.24
2022-05-01 08:00:00,1.22,0.36,0.92,0.79,0.23
2022-05-01 09:00:00,1.22,0.36,0.92,0.79,0.23
2022-05-01 10:00:00,1.22,0.36,0.93,0.79,0.24
2022-05-01 11:00:00,1.21,0.36,0.91,0.79,0.23
2022-05-01 12:00:00,1.21,0.36,0.91,0.79,0.23
2022-05-01 13:00:00,1.21,0.34,0.91,0.79,0.23
2022-05-01 14:00:00,1.21,0.34,0.91,0.79,0.22
2022-05-01 15:00:00,1.2,0.34,0.92,0.79,0.22
2022-05-01 16:00:00,1.21,0.34,0.92,0.79,0.22
2022-05-01 17:00:00,1.2,0.34,0.92,0.78,0.22
2022-05-01 18:00:00,1.2,0.34,0.92,0.78,0.22
2022-05-01 19:00:00,1.2,0.34,0.91,0.78,0.22
2022-05-01 20:00:00,1.2,0.36,0.91,0.78,0.22
2022-05-01 21:00:00,1.21,0.35,0.91,0.78,0.22
2022-05-01 22:00:00,1.2,0.35,0.91,0.78,0.22
2022-05-01 23:00:00,1.2,0.35,0.9,0.78,0.22
2022-05-02 00:00:00,1.2,0.35,0.9,0.78,0.22
2022-05-02 01:00:00,1.21,0.35,0.9,0.78,0.22
2022-05-02 02:00:00,1.2,0.35,0.9,0.78,0.22
2022-05-02 03:00:00,1.21,0.35,0.9,0.78,0.22
2022-05-02 04:00:00,1.2,0.35,0.9,0.78,0.22
2022-05-02 05:00:00,1.21,0.35,0.9,0.78,0.22
2022-05-02 06:00:00,1.21,0.35,0.9,0.78,0.22
2022-05-02 07:00:00,1.2,0.35,0.9,0.78,0.22
2022-05-02 08:00:00,1.21,0.35,0.89,0.78,0.22
2022-05-02 09:00:00,1.2,0.35,0.89,0.78,0.22
2022-05-02 10:00:00,1.21,0.35,0.9,0.78,0.22
2022-05-02 11:00:00,1.19,0.34,0.88,0.78,0.22
